timestamp,ticker,title,event_ticker,category,status,close_time,yes_bid,yes_ask,no_bid,no_ask,volume,open_interest,last_trade_price
1769246875.549026,KXMVESPORTSMULTIGAMEEXTENDED-S2025FCA2986B099-9F4669C08AB,"yes Tyrese Maxey: 2+,yes VJ Edgecombe: 1+,yes Josh Hart: 2+,yes VJ Edgecombe: 2+,yes Kon Knueppel: 2+,yes LaMelo Ball: 6+,yes Miles Bridges: 2+,yes Charlotte,yes Jalen Brunson: 20+,yes Karl-Anthony Towns: 15+,yes Mikal Bridges: 10+,yes Joel Embiid: 20+,yes Kon Knueppel: 15+,yes Miles Bridges: 10+,yes Jalen Brunson: 2+,yes Josh Hart: 4+,yes Mikal Bridges: 2+,yes OG Anunoby: 2+,yes Joel Embiid: 6+,yes Kon Knueppel: 2+,yes LaMelo Ball: 4+",KXMVESPORTSMULTIGAMEEXTENDED-S2025FCA2986B099,,active,2026-02-07T20:00:00Z,0,0,100,100,0,0,
1769246875.549026,KXMVESPORTSMULTIGAMEEXTENDED-S20253EAFC982811-8D37B239B26,"yes Derrick Lewis,yes Ty Cole Miller,yes Paddy Pimblett,yes Ateba Gautier,yes Josh Hokit,yes Alexander Hernandez,yes Deiveson Figueiredo,yes Sean O'Malley,yes Charles Johnson",KXMVESPORTSMULTIGAMEEXTENDED-S20253EAFC982811,,active,2026-02-08T03:00:00Z,0,0,100,100,0,0,
1769246875.549026,KXMVESPORTSMULTIGAMEEXTENDED-S2025F19AD88506D-02C7E4BC495,"yes Draymond Green: 2+,yes LaMelo Ball: 6+,yes Stephen Curry: 25+,yes Anthony Edwards: 25+,yes Rudy Gobert: 10+,yes Jalen Brunson: 25+,yes Kon Knueppel: 15+,yes LaMelo Ball: 20+,yes Rudy Gobert: 10+,yes Josh Hart: 6+",KXMVESPORTSMULTIGAMEEXTENDED-S2025F19AD88506D,,active,2026-02-07T22:30:00Z,0,0,100,100,0,0,
1769246875.549026,KXMVESPORTSMULTIGAMEEXTENDED-S20252F905163189-6A7BFD2CE1B,"yes Luka Dončić: 2+,yes LaMelo Ball: 2+,yes Josh Hart: 4+,yes LaMelo Ball: 6+,yes Stephen Curry: 30+,yes Anthony Edwards: 30+,yes Luka Dončić: 35+,yes LeBron James: 20+,yes Joel Embiid: 20+,yes Luka Dončić: 6+",KXMVESPORTSMULTIGAMEEXTENDED-S20252F905163189,,active,2026-02-08T01:30:00Z,0,0,100,100,0,0,
1769246875.549026,KXMVESPORTSMULTIGAMEEXTENDED-S202556901E3C60D-ECF39CB1C3F,"yes Jaxon Smith-Njigba,yes Kenneth Walker III,yes Seattle,yes Cooper Kupp: 3+,yes Jaxon Smith-Njigba: 6+,yes Kyren Williams: 60+",KXMVESPORTSMULTIGAMEEXTENDED-S202556901E3C60D,,active,2026-02-08T23:30:00Z,0,0,100,100,0,0,
1769246875.549026,KXMVESPORTSMULTIGAMEEXTENDED-S2025CA5990B6FB4-CDBD74F8FA3,"yes Kyren Williams,yes Kenneth Walker III,yes Seattle,yes Matthew Stafford: 200+,yes Sam Darnold: 175+,yes Sam Darnold: 10+",KXMVESPORTSMULTIGAMEEXTENDED-S2025CA5990B6FB4,,active,2026-02-08T23:30:00Z,0,0,100,100,0,0,
1769246875.549026,KXMVESPORTSMULTIGAMEEXTENDED-S2025355360F9A8D-6CAEF39FA2E,"yes Kon Knueppel: 1+,yes VJ Edgecombe: 2+,yes OG Anunoby: 2+",KXMVESPORTSMULTIGAMEEXTENDED-S2025355360F9A8D,,active,2026-02-07T17:00:00Z,0,0,100,100,0,0,
1769246875.549026,KXMVESPORTSMULTIGAMEEXTENDED-S2025B13063F92BE-5C6971DD678,"yes New England,yes Rhamondre Stevenson,yes Drake Maye: 1+,yes Drake Maye: 175+,yes Hunter Henry: 2+,yes Evan Engram: 10+,yes RJ Harvey: 40+,no Over 43.5 points scored",KXMVESPORTSMULTIGAMEEXTENDED-S2025B13063F92BE,,active,2028-01-26T15:00:00Z,0,0,100,100,0,0,
1769246875.549026,KXMVESPORTSMULTIGAMEEXTENDED-S20250E0689F3AFD-61A1EC7A3F6,"yes Stephen Curry: 25+,yes Anthony Edwards: 20+,yes Jalen Brunson: 20+,yes Karl-Anthony Towns: 10+,yes Tyrese Maxey: 25+,yes Miles Bridges: 10+,yes Kon Knueppel: 2+,yes LaMelo Ball: 2+",KXMVESPORTSMULTIGAMEEXTENDED-S20250E0689F3AFD,,active,2026-02-07T22:30:00Z,0,0,100,100,0,0,
1769246875.549026,KXMVESPORTSMULTIGAMEEXTENDED-S20259A3EA9EE285-9171ECB4945,"yes Washington,yes Kon Knueppel: 15+,yes LaMelo Ball: 15+,yes Miles Bridges: 15+,yes LaMelo Ball: 5+,no Over 233.5 points scored",KXMVESPORTSMULTIGAMEEXTENDED-S20259A3EA9EE285,,active,2026-02-07T23:00:00Z,0,0,100,100,0,0,
